query,pandas_function_call
Find cumulative min of weight,df['weight'].cummin()
Find the median of score,df['score'].median()
Find standard deviation of temperature,df['temperature'].std()
Get the min of height,df['height'].min()
Calculate sum for height,df['height'].sum()
Count unique entries for profit,df['profit'].nunique()
Get cumsum for score,df['score'].cumsum()
Compute pct change for sales,df['sales'].pct_change()
Get MAD of height,df['height'].mad()
Calculate sum for score,df['score'].sum()
Find maximum of height,df['height'].max()
Compute pct change for weight,df['weight'].pct_change()
Show distinct entries for sales,df['sales'].unique()
Find the average of height,df['height'].mean()
Show lowest value for profit,df['profit'].min()
Show frequency distribution for revenue,df['revenue'].value_counts()
Show distinct entries for revenue,df['revenue'].unique()
Get diff for height,df['height'].diff()
Find the sum of temperature,df['temperature'].sum()
Find covariance of height,df.cov()['height']
Get the min of height,df['height'].min()
Describe values of height,df['height'].describe()
Find unique values in expenses,df['expenses'].unique()
Find mean absolute deviation of profit,df['profit'].mad()
Find the average of profit,df['profit'].mean()
Compute percentile for profit,df['profit'].quantile(0.5)
Show percent change of temperature,df['temperature'].pct_change()
Show mean of score,df['score'].mean()
Show highest value for price,df['price'].max()
Get nunique of revenue,df['revenue'].nunique()
Compute running max for price,df['price'].cummax()
Find kurtosis of weight,df['weight'].kurt()
Find the average of revenue,df['revenue'].mean()
Find number of records for weight,df['weight'].count()
Compute running product for age,df['age'].cumprod()
Compute covariance for age,df.cov()['age']
Find mean absolute deviation of temperature,df['temperature'].mad()
Compute MAD for expenses,df['expenses'].mad()
Find difference in expenses,df['expenses'].diff()
Compute percentile for height,df['height'].quantile(0.5)
Describe values of temperature,df['temperature'].describe()
Show skew value for expenses,df['expenses'].skew()
Find number of unique values in expenses,df['expenses'].nunique()
Find skewness of age,df['age'].skew()
Get middle value of age,df['age'].median()
Get cumprod for sales,df['sales'].cumprod()
Show skew value for temperature,df['temperature'].skew()
Compute mean for score,df['score'].mean()
Get the min of height,df['height'].min()
Show covariance of weight,df.cov()['weight']
Find the sum of temperature,df['temperature'].sum()
Get the max of price,df['price'].max()
Compute pct change for height,df['height'].pct_change()
Find unique values in revenue,df['revenue'].unique()
Find median quantile of temperature,df['temperature'].quantile(0.5)
Get diff for price,df['price'].diff()
Show highest value for age,df['age'].max()
Get total of profit,df['profit'].sum()
Show statistics for profit,df['profit'].describe()
Find covariance of height,df.cov()['height']
Get cumprod for sales,df['sales'].cumprod()
Find variance of expenses,df['expenses'].var()
Show statistics for score,df['score'].describe()
Find standard deviation of height,df['height'].std()
Compute running total for sales,df['sales'].cumsum()
Get variation in profit,df['profit'].std()
Show lowest value for price,df['price'].min()
Compute mode for age,df['age'].mode()
Compute running max for revenue,df['revenue'].cummax()
Get cummax for score,df['score'].cummax()
Show relationship of revenue,df.corr()['revenue']
Find correlation with height,df.corr()['height']
Show relationship of weight,df.corr()['weight']
Compute MAD for profit,df['profit'].mad()
Compute correlation for expenses,df.corr()['expenses']
Find skewness of profit,df['profit'].skew()
Show percent change of temperature,df['temperature'].pct_change()
Calculate sum for height,df['height'].sum()
Get most frequent value in price,df['price'].mode()
Get middle value of weight,df['weight'].median()
Compute correlation for age,df.corr()['age']
Compute covariance for price,df.cov()['price']
Compute correlation for height,df.corr()['height']
Calculate sum for temperature,df['temperature'].sum()
Compute skew for weight,df['weight'].skew()
Find unique values in price,df['price'].unique()
Show mean of score,df['score'].mean()
Find standard deviation of weight,df['weight'].std()
Get unique values of height,df['height'].unique()
Find kurtosis of score,df['score'].kurt()
Show percent change of temperature,df['temperature'].pct_change()
Compute change for profit,df['profit'].diff()
Show lowest value for price,df['price'].min()
Get diff for price,df['price'].diff()
Find mode of price,df['price'].mode()
Find the median of height,df['height'].median()
Compute mode for profit,df['profit'].mode()
Find cumulative max of expenses,df['expenses'].cummax()
Total count for weight,df['weight'].count()
Find percentage change in expenses,df['expenses'].pct_change()
Get cumsum for price,df['price'].cumsum()
Show relationship of height,df.corr()['height']
Find covariance of price,df.cov()['price']
Get quantile for expenses,df['expenses'].quantile(0.5)
Show lowest value for score,df['score'].min()
Get middle value of score,df['score'].median()
Find mode of price,df['price'].mode()
Find percentage change in age,df['age'].pct_change()
Show frequency distribution for revenue,df['revenue'].value_counts()
Find cumulative sum of score,df['score'].cumsum()
Get MAD of profit,df['profit'].mad()
Find the median of revenue,df['revenue'].median()
Find cumulative product of price,df['price'].cumprod()
Find the average of profit,df['profit'].mean()
Compute mean for price,df['price'].mean()
Find cumulative product of expenses,df['expenses'].cumprod()
Get cummin for revenue,df['revenue'].cummin()
Find cumulative sum of sales,df['sales'].cumsum()
Find standard deviation of sales,df['sales'].std()
Calculate sum for age,df['age'].sum()
Find cumulative product of price,df['price'].cumprod()
Find skewness of profit,df['profit'].skew()
Find cumulative min of score,df['score'].cummin()
Compute correlation for temperature,df.corr()['temperature']
Find correlation with sales,df.corr()['sales']
Get cummin for age,df['age'].cummin()
Compute median for profit,df['profit'].median()
Find variance of age,df['age'].var()
Show percent change of height,df['height'].pct_change()
Get cummax for height,df['height'].cummax()
Show highest value for expenses,df['expenses'].max()
Find standard deviation of weight,df['weight'].std()
Compute correlation for profit,df.corr()['profit']
Compute std for weight,df['weight'].std()
Show lowest value for price,df['price'].min()
Compute skew for score,df['score'].skew()
Show frequency distribution for profit,df['profit'].value_counts()
Compute MAD for height,df['height'].mad()
Get most frequent value in expenses,df['expenses'].mode()
Compute mean for expenses,df['expenses'].mean()
Get the max of temperature,df['temperature'].max()
Show lowest value for sales,df['sales'].min()
Show covariance of height,df.cov()['height']
Find the sum of price,df['price'].sum()
Compute value counts of profit,df['profit'].value_counts()
Compute kurtosis for temperature,df['temperature'].kurt()
Find number of unique values in height,df['height'].nunique()
Find cumulative sum of height,df['height'].cumsum()
Count unique entries for age,df['age'].nunique()
Find covariance of temperature,df.cov()['temperature']
Compute variance for temperature,df['temperature'].var()
Total count for sales,df['sales'].count()
Compute variance for sales,df['sales'].var()
Find correlation with temperature,df.corr()['temperature']
Get cumsum for age,df['age'].cumsum()
Get statistical variance of score,df['score'].var()
Get statistical variance of sales,df['sales'].var()
Compute MAD for price,df['price'].mad()
Count unique entries for age,df['age'].nunique()
Find value counts of profit,df['profit'].value_counts()
Compute median for expenses,df['expenses'].median()
Compute median for weight,df['weight'].median()
Find kurtosis of sales,df['sales'].kurt()
Compute median for price,df['price'].median()
Find unique values in temperature,df['temperature'].unique()
Get middle value of sales,df['sales'].median()
Show kurtosis of sales,df['sales'].kurt()
Find difference in sales,df['sales'].diff()
Find the sum of price,df['price'].sum()
Show distinct entries for age,df['age'].unique()
Get quantile for score,df['score'].quantile(0.5)
Get unique values of temperature,df['temperature'].unique()
Get summary of profit,df['profit'].describe()
Compute pct change for temperature,df['temperature'].pct_change()
Find mode of price,df['price'].mode()
Compute value counts of price,df['price'].value_counts()
Get diff for temperature,df['temperature'].diff()
Find the sum of price,df['price'].sum()
Find number of unique values in revenue,df['revenue'].nunique()
Compute correlation for sales,df.corr()['sales']
Show kurtosis of score,df['score'].kurt()
Find percentage change in weight,df['weight'].pct_change()
Count entries in weight,df['weight'].count()
Compute skew for height,df['height'].skew()
Compute percentile for height,df['height'].quantile(0.5)
Calculate sum for revenue,df['revenue'].sum()
Get cumprod for expenses,df['expenses'].cumprod()
Find cumulative product of revenue,df['revenue'].cumprod()
Compute mode for weight,df['weight'].mode()
Get cummax for price,df['price'].cummax()
Compute std for revenue,df['revenue'].std()
Compute percentile for height,df['height'].quantile(0.5)
Compute std for profit,df['profit'].std()
Compute running total for sales,df['sales'].cumsum()
Find variance of temperature,df['temperature'].var()
Find the average of revenue,df['revenue'].mean()
Get the min of temperature,df['temperature'].min()
Get the min of sales,df['sales'].min()
Get MAD of expenses,df['expenses'].mad()
